epoch,train_loss,val_cross_entropy_loss,val_accuracy,val_macro_f1,val_auc,learning_rate
1,1.0146974921226501,0.7665212154388428,0.7333333333333333,0.5166666666666667,0.8527437069103736,0.001
2,0.7145820140838623,1.1507147550582886,0.7333333333333333,0.5132275132275131,0.8379827409432673,0.001
3,0.6182110667228699,0.8789848685264587,0.7,0.48558558558558557,0.856011117158778,0.001
4,0.5653289079666137,1.2084585428237915,0.7333333333333333,0.5132275132275131,0.8846411061323343,0.001
5,0.5661741614341735,0.566372275352478,0.7333333333333333,0.515771526001705,0.9100950151754246,0.001
6,0.523266589641571,0.5211414694786072,0.7666666666666667,0.5393939393939394,0.9283793624071403,0.001
7,0.48264158368110655,0.6133204102516174,0.7333333333333333,0.515771526001705,0.8775496893186951,0.001
8,0.4194900870323181,0.6131405234336853,0.7333333333333333,0.515771526001705,0.885310568790101,0.001
9,0.41102097034454343,0.8081140518188477,0.7333333333333333,0.515771526001705,0.8989307408532555,0.001
10,0.43225222229957583,0.6635749936103821,0.7333333333333333,0.515771526001705,0.8984748803827752,0.001
11,0.4146915912628174,0.6020830869674683,0.8,0.713903743315508,0.9167592276144908,0.001
12,0.41540089845657346,0.7053053975105286,0.7666666666666667,0.763743128435782,0.8965172119411885,0.001
13,0.36975364089012147,0.7815667390823364,0.7,0.6571940604198668,0.885310568790101,0.001
14,0.36653520464897155,0.7162230610847473,0.7666666666666667,0.763743128435782,0.9186745272271587,0.001
15,0.33041819334030154,0.5566806197166443,0.8333333333333334,0.8380114509146767,0.9257946001367054,0.001
16,0.38759154081344604,0.5990877747535706,0.8,0.7893939393939394,0.9215439166097061,0.001
17,0.3770231485366821,0.6275306940078735,0.8,0.7983695652173912,0.9153779334700388,0.0001
18,0.3515941083431244,0.5951198935508728,0.8333333333333334,0.873772791023843,0.9153779334700388,0.0001
19,0.2952821284532547,0.5731786489486694,0.8333333333333334,0.873772791023843,0.9138898382319436,0.0001
20,0.3031429648399353,0.573071300983429,0.8333333333333334,0.873772791023843,0.9168660287081339,0.0001
21,0.3117326557636261,0.5394154191017151,0.8333333333333334,0.873772791023843,0.9198422191843244,0.0001
22,0.2732366591691971,0.5065292716026306,0.8333333333333334,0.873772791023843,0.9259014012303486,0.0001
23,0.28972435295581817,0.4954887330532074,0.8333333333333334,0.873772791023843,0.9273894964684439,0.0001
24,0.30991687774658205,0.4874217212200165,0.8333333333333334,0.873772791023843,0.9273894964684439,0.0001
25,0.2776281386613846,0.47046008706092834,0.8333333333333334,0.873772791023843,0.9288775917065392,0.0001
26,0.29740378856658933,0.47091567516326904,0.8333333333333334,0.873772791023843,0.9273894964684439,0.0001
27,0.3107779860496521,0.5033391118049622,0.8,0.8132505175983437,0.9229252107541582,0.0001
28,0.3158563494682312,0.5104208588600159,0.8333333333333334,0.873772791023843,0.9259014012303486,0.0001
29,0.3218837708234787,0.49800732731819153,0.8333333333333334,0.873772791023843,0.9228184096605149,0.0001
30,0.34322528541088104,0.4850462079048157,0.8333333333333334,0.873772791023843,0.9212235133287764,0.0001
