class_id,subtype,sample_count,precision,recall,f1,auc_ovr
0,KIRC,14,0.9230769230769231,0.8571428571428571,0.888888888888889,0.9553571428571428
1,KIRP,14,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9196428571428572
2,KICH,2,0.6666666666666666,1.0,0.8,0.9642857142857143
