epoch,train_loss,val_rmse,val_mse,val_pearson,val_spearman,val_r2,val_mae,learning_rate
1,0.018652722981606595,0.21078448573768432,0.0444301,0.5092492432966443,0.3746310735644737,-8.984705283510714,0.20186704,0.0001
2,0.009847274391714782,0.07963902176921048,0.006342374,0.6394466999201873,0.6018641650747713,-0.42531156981389207,0.0695765,0.0001
3,0.0067365943633219336,0.04626814594988814,0.0021407413,0.7247559089342868,0.7101582776508053,0.5189146250475821,0.03671291,0.0001
4,0.005391407136549299,0.04219649205804248,0.001780544,0.7799946823501653,0.7493501560460339,0.5998611949704002,0.0330908,0.0001
5,0.004598791552696223,0.04227534735385075,0.001787205,0.811058985399307,0.765319563488794,0.5983642642769784,0.03374191,0.0001
6,0.003994548949356352,0.04070631546697663,0.0016570041,0.8011662885848801,0.7680675785301856,0.6276241188953815,0.03190756,0.0001
7,0.003468318691379742,0.03869294203233314,0.0014971438,0.8356058516982858,0.7936044521292813,0.663549251623407,0.030857533,0.0001
8,0.003011192354586637,0.0375522146942453,0.0014101688,0.8281976985355921,0.8082637053254608,0.6830950329585899,0.029176438,0.0001
9,0.0026777025014490634,0.03763391863923894,0.0014163118,0.8332080611897954,0.8013506318914375,0.6817144822139463,0.029405093,0.0001
10,0.0023546797223955645,0.03688292047532883,0.0013603498,0.841083279137529,0.8119073960795824,0.6942907519327741,0.028954506,0.0001
11,0.002120990281496333,0.03771568943381347,0.0014224732,0.8349070062910027,0.8125581520327594,0.6803298874669919,0.029578002,0.0001
12,0.0019105595959703961,0.03655134393318629,0.0013360007,0.8458933976137986,0.8139362228376944,0.6997626683478169,0.02863736,0.0001
13,0.0017490408474232757,0.03616307898325605,0.0013077683,0.8434454767157717,0.8221890385989966,0.7061073182371527,0.02810292,0.0001
14,0.001608975978150121,0.03645046697772123,0.0013286365,0.8476096936764909,0.8199938790854266,0.7014176297977384,0.028520286,0.0001
15,0.0015295069634125834,0.036387937922587904,0.001324082,0.8510176608306358,0.8261738140652466,0.7024411413569374,0.028237753,0.0001
16,0.0014745024223517345,0.037158303254402385,0.0013807395,0.8456945556369162,0.817291771948618,0.6897086239806838,0.029093092,0.0001
17,0.0014170700444986052,0.03606647768801656,0.0013007908,0.8560083212051969,0.8292616871750456,0.7076753266712398,0.02809842,0.0001
18,0.0013704703028263963,0.03594761503962266,0.001292231,0.8507136923917216,0.8300248965368912,0.7095989842182373,0.02751216,0.0001
19,0.0013588830993517581,0.03722080485148925,0.0013853883,0.8474334598218756,0.8271219473370188,0.6886639069596765,0.028893512,0.0001
20,0.0013195639032187335,0.036225719796157206,0.0013123028,0.8630831170353237,0.8298423323623679,0.7050882893533633,0.028149873,0.0001
21,0.0013126407490353215,0.03687931732841187,0.001360084,0.8542762568226457,0.8318648295115498,0.6943504651882677,0.028340034,0.0001
22,0.0013576179205773086,0.03763691753390385,0.0014165376,0.8620038972082331,0.8305452364200024,0.681663778339795,0.0291469,0.0001
23,0.0012979572697643445,0.0360348862997142,0.001298513,0.8609263854489256,0.8345665781539121,0.7081872409911016,0.027922863,0.0001
24,0.0012698138146570582,0.03625334469907291,0.001314305,0.8676556772610924,0.8356276840011014,0.7046383589622957,0.028112853,0.0001
25,0.001256528886110429,0.036000990759607325,0.0012960713,0.8636210933659147,0.8341514782285337,0.7087359642503561,0.027981635,0.0001
26,0.0012732197974135516,0.035548710055197365,0.0012637108,0.8617179637462907,0.8353499463648009,0.7160082991453991,0.027410839,0.0001
27,0.0012373284015004635,0.03544855458711933,0.0012566,0.8649189408703792,0.8363776026280509,0.7176062975008655,0.027676376,0.0001
28,0.0012445834208559697,0.03527295094848353,0.0012441811,0.868018482916302,0.8379637784835832,0.7203971754769245,0.027535869,0.0001
29,0.0012541739136964047,0.035906842231638925,0.0012893013,0.8584623276177975,0.8348948003417335,0.7102573556786091,0.02764949,0.0001
30,0.0012232280200927398,0.034702730212870854,0.0012042795,0.8648767541945579,0.8360916363138722,0.7293642106251426,0.027055498,0.0001
31,0.0012124392965643094,0.03526219986341953,0.0012434227,0.8575158535835669,0.8331449147626356,0.7205675969749241,0.027043018,0.0001
32,0.0012194598031314112,0.03553102658745909,0.0012624539,0.8584779348685432,0.8304259160416401,0.7162907534392983,0.027778704,0.0001
33,0.0012101668740850432,0.03437385076259834,0.0011815616,0.8656926878693147,0.836439963192353,0.7344695509443,0.026729677,0.0001
34,0.0011957263585475756,0.03436067720339942,0.0011806561,0.8649560890273388,0.8390080684896533,0.7346730241062416,0.026811926,0.0001
35,0.0012351386183918139,0.034176083783497936,0.0011680047,0.865540485215753,0.8386105892607912,0.7375161635218096,0.026595691,0.0001
36,0.0011743812931139575,0.03403482563250502,0.0011583694,0.8686105455253832,0.8405664568788138,0.7396814720019371,0.026628572,0.0001
37,0.0012001833876899677,0.03410925420118497,0.0011634412,0.8679065178472194,0.8394075133599624,0.7385416999702565,0.026551422,0.0001
38,0.001174894501633575,0.034458560533754255,0.0011873924,0.859914279148373,0.8311838362138666,0.7331591920596643,0.026686786,0.0001
39,0.001162509938887232,0.03416353082264958,0.0011671468,0.8667948144365946,0.8389174873274599,0.7377089655085537,0.026659926,0.0001
40,0.0011716114523239352,0.03356210283902648,0.0011264147,0.8721328473356795,0.8429554397189928,0.746862607660125,0.026054692,0.0001
41,0.0011756409643248512,0.03363176090255701,0.0011310953,0.8682260790870344,0.8426298625272625,0.745810754480457,0.025989613,0.0001
42,0.0011545600009279964,0.033885632656952366,0.0011482361,0.8653107799036202,0.8377644797775586,0.7419587467773507,0.026321987,0.0001
43,0.0011587039202988745,0.03321436558515759,0.0011031941,0.8715221600124374,0.8418363353985883,0.7520809632038821,0.025690172,0.0001
44,0.0011340813255113144,0.033964384985134814,0.0011535794,0.8681479616671711,0.8383406694281329,0.7407579145071741,0.026401045,0.0001
45,0.0011257996173391976,0.03272206490089233,0.0010707335,0.8744764786992549,0.8468161699843769,0.7593757638723908,0.025297513,0.0001
46,0.0011580236679013284,0.03319895591928036,0.0011021707,0.8718789540710523,0.8405433087984956,0.7523109390505864,0.025791252,0.0001
47,0.0011250384189041192,0.03334079105023617,0.0011116083,0.8721653399706055,0.8439840648419173,0.7501900354278793,0.026098628,0.0001
48,0.0011231437044494634,0.03319896468576889,0.0011021713,0.8716233510778925,0.8442258989296748,0.7523108040595449,0.02579063,0.0001
49,0.0011230805941031443,0.03417326492185151,0.001167812,0.8595694085258233,0.839029650128608,0.7375594632097773,0.02619027,0.0001
50,0.0011176739255257559,0.032809460519045534,0.0010764607,0.8730715832672422,0.843189294432474,0.7580887085879385,0.025356146,0.0001
51,0.0011243112478037014,0.032783860738918105,0.0010747815,0.8738072631539144,0.8447536261416962,0.7584660521789635,0.025480956,0.0001
52,0.0011484472084889038,0.032860040497740925,0.0010797823,0.8724092466119235,0.8439265954186089,0.7573422795648428,0.025415394,0.0001
53,0.0010963871035840444,0.03345559879550112,0.0011192771,0.866432410498061,0.8329662266604043,0.7484666328806687,0.025633313,0.0001
54,0.001105919120739239,0.03267555582181943,0.001067692,0.872485835762447,0.8458159336237535,0.7600592784667328,0.025106668,0.0001
55,0.0011470024393239215,0.03293198610012243,0.0010845157,0.8723769181193631,0.8428447834370786,0.7562785363109477,0.025618488,0.0001
