epoch,train_loss,val_rmse,val_mse,val_pearson,val_spearman,val_r2,val_mae,learning_rate
1,0.018654120044778226,0.18014392726272593,0.032451835,0.5088015595981032,0.4235592708330244,-6.843659571276066,0.17080745,0.0001
2,0.009685507719461646,0.08270841909091037,0.0068406826,0.6118087185727318,0.5710149732318643,-0.6534036835472787,0.07269777,0.0001
3,0.006954297504371934,0.05570948153203304,0.0031035463,0.6352056207778191,0.677908742602953,0.24986801984852502,0.046246096,0.0001
4,0.005495812508805571,0.047427865856591485,0.0022494025,0.725606810246848,0.73898877143991,0.4563158655108186,0.038431536,0.0001
5,0.004635798574624687,0.040888383168271106,0.0016718599,0.7830945558922321,0.7417053572464007,0.5959088407457033,0.032718066,0.0001
6,0.003975284027520323,0.041053765592377854,0.0016854117,0.8015268464140888,0.7934665072641046,0.5926333665479258,0.03240733,0.0001
7,0.0033758181238483518,0.04404487722030134,0.0019399512,0.826601176590903,0.7897636700545384,0.5311106725529622,0.035513278,0.0001
8,0.0029649222453766097,0.040659696979514416,0.001653211,0.8308686964969274,0.7910109302335252,0.600416290976442,0.032814056,0.0001
9,0.0025631419556904267,0.03602806095113379,0.0012980212,0.8312533389887202,0.8107755063259984,0.6862662528320682,0.027985455,0.0001
10,0.002263781317473455,0.03623024427596316,0.0013126306,0.8283820518390324,0.8109968580251701,0.6827351135588543,0.02813739,0.0001
11,0.0019915344812759988,0.03763591844443256,0.0014164624,0.8262012151410435,0.828260813238893,0.6576388224513843,0.02956556,0.0001
12,0.001781208463321347,0.036843484500340126,0.0013574424,0.8349966298553535,0.8169179388081046,0.6719040121270656,0.029182877,0.0001
13,0.0016179601023134543,0.035060402563181776,0.0012292318,0.8504144436715223,0.8368055167187104,0.702892719138243,0.027420191,0.0001
14,0.0014862334604262898,0.0357827078712804,0.0012804022,0.8506688550631556,0.8313331513352181,0.6905247704702436,0.02770253,0.0001
15,0.0013943390976416668,0.03583117829840802,0.0012838733,0.8489232087719435,0.834539766620326,0.6896857705573592,0.027723817,0.0001
16,0.0013279155457710707,0.03465376818312271,0.0012008836,0.8520875081224828,0.8352422349679397,0.7097445300928296,0.02662492,0.0001
17,0.00128764307087881,0.035377968889344726,0.0012516007,0.8618366062874292,0.8410975017749398,0.697486147496974,0.027123354,0.0001
18,0.0012414071018781532,0.03380174639948549,0.0011425581,0.8638841192904354,0.84086709573234,0.7238418956056061,0.025860546,0.0001
19,0.0012139010826893912,0.03466983239443486,0.0012019973,0.8689025229447851,0.8390845139392891,0.7094753767555293,0.026624504,0.0001
20,0.0012018297471920677,0.03358324802996861,0.0011278345,0.8628408909948182,0.8389329946994466,0.7274006263538466,0.0259231,0.0001
21,0.0011853873056281413,0.03397501907145468,0.0011543019,0.8661426015890706,0.8456745658730281,0.7210034005686823,0.026119506,0.0001
22,0.001168187435601958,0.03444683543846847,0.0011865845,0.8687690268352576,0.8467396412944582,0.7132006535667808,0.026454337,0.0001
23,0.0011498525275887327,0.03352430618003416,0.0011238791,0.8724364370702494,0.8490157397486013,0.7283566583890161,0.025825378,0.0001
24,0.0011369048643555865,0.03468292880653389,0.0012029056,0.8745139316966315,0.8477281253588017,0.7092558310433529,0.026646387,0.0001
25,0.0011142562001172018,0.034902201093479295,0.0012181636,0.8739091638882831,0.8459803135553309,0.7055679086857497,0.026436567,0.0001
26,0.0011112955262189972,0.03286817190316007,0.0010803167,0.8791631722807306,0.8503264503034896,0.7388857656507178,0.025279662,0.0001
27,0.001097781965769646,0.03448072763135993,0.0011889206,0.8756675412653383,0.8480750687269247,0.7126360022973389,0.026397465,0.0001
28,0.0010936255548364617,0.034187254749216925,0.0011687684,0.874593462147463,0.8535926041723273,0.7175068518131003,0.026140818,0.0001
29,0.001078813710465796,0.03403103040220626,0.001158111,0.8799020833965174,0.8547781707134994,0.7200827224410187,0.025831938,0.0001
30,0.0010774802039700295,0.03352931671644188,0.0011242151,0.8714059043377478,0.8552233738873504,0.7282754526013719,0.025613764,0.0001
31,0.00106836100050289,0.032636391816707556,0.0010651341,0.8836795452103243,0.8582872982806972,0.742555408734298,0.024920158,0.0001
32,0.001056592933575276,0.033466338893916904,0.0011199958,0.885367765460081,0.8606766180506862,0.7292952289851538,0.025456725,0.0001
33,0.0010494179656862796,0.03323856033636615,0.0011048019,0.8804539640049756,0.8531370794755339,0.7329676351924641,0.025322618,0.0001
34,0.001049140630187376,0.03245308046471043,0.0010532024,0.882423156011518,0.8569201713259347,0.7454393192789766,0.024877965,0.0001
35,0.0010470611940040604,0.032263402400463756,0.0010409271,0.8830148164159806,0.8595964537850287,0.7484062646822789,0.024712808,0.0001
36,0.0010428591339606474,0.032067618570542376,0.0010283322,0.8776112088165535,0.8532800213680627,0.7514505092646004,0.024585139,0.0001
37,0.0010263056200708052,0.03259056776777215,0.0010621451,0.8792258110083405,0.8581076717640557,0.7432778355747376,0.024854973,0.0001
38,0.0010236843149636593,0.03229118860824048,0.0010427209,0.8816470570442957,0.8549684828857353,0.7479727206317988,0.024753341,0.0001
39,0.0010160302736659345,0.03266663700419392,0.0010671092,0.8834337421690119,0.8583603622235361,0.7420780272091594,0.025153587,0.0001
40,0.001022261134113713,0.0320964157621039,0.0010301799,0.8786502486872105,0.859309769678206,0.7510038849787393,0.024543898,0.0001
41,0.0010103639405715866,0.03136448638623208,0.000983731,0.8833520965847446,0.8615871117330205,0.762230677416353,0.024059646,0.0001
42,0.001001659991265526,0.030889101664652287,0.0009541366,0.889007178459996,0.8666674144439254,0.7693836853381082,0.023809448,0.0001
43,0.0009982887744507583,0.030913767193289265,0.000955661,0.8878266955243158,0.8659896626766275,0.7690152132940086,0.023894435,0.0001
44,0.0009923938778229058,0.03127835522132556,0.0009783355,0.8868676813713889,0.8669488036682196,0.7635347945209967,0.024116835,0.0001
45,0.0009910249484956736,0.03098430315999837,0.00096002704,0.8851948620825061,0.8675922650124253,0.7679599463759261,0.02377536,0.0001
46,0.0009874302922626798,0.03048380222416693,0.0009292622,0.8877818131087322,0.8646821105170842,0.7753958448568279,0.023310507,0.0001
47,0.0009813727336536885,0.031177888310547148,0.0009720607,0.8846179397842561,0.8663515013964175,0.7650513841176038,0.023951717,0.0001
48,0.000982457486099117,0.031506678207419314,0.0009926708,0.8863957150646061,0.8652265916879472,0.7600699203220123,0.0243973,0.0001
49,0.0009721693779832464,0.030928101243835496,0.00095654745,0.8790668742535215,0.8610979331019307,0.7688009893194958,0.023714306,0.0001
50,0.0009666750936342943,0.030578075526033727,0.0009350187,0.8875619449289667,0.8682509674308206,0.7740044993251002,0.023430895,0.0001
51,0.0009614416684047829,0.030883610012455168,0.00095379737,0.8859717732334949,0.8650680309810341,0.7694656663903283,0.023706343,0.0001
52,0.0009597288404275276,0.030566042564288177,0.00093428296,0.8859425246502382,0.8688926296747402,0.7741823215238737,0.023556234,0.0001
53,0.0009547655813471321,0.030149899960544863,0.00090901647,0.8883713094906491,0.8699759135997541,0.7802892849070819,0.023343476,0.0001
54,0.0009557971234576111,0.03123156368788669,0.00097541057,0.8822200877506465,0.8701732190461889,0.7642417452030601,0.024111222,0.0001
55,0.0009453141162655749,0.030319452884770566,0.0009192692,0.8917683332935723,0.8695213549772672,0.7778111793316896,0.02361877,0.0001
56,0.00094546053565386,0.0306782621638934,0.00094115577,0.8905660385568537,0.8670019707897646,0.7725211614403455,0.023965986,0.0001
57,0.0009370090690166112,0.029918332859804084,0.00089510664,0.8886540739349494,0.8668107884141101,0.7836513241394532,0.022925865,0.0001
58,0.0009389530418813455,0.03021801308831293,0.0009131283,0.890408772391753,0.8714400012917038,0.779295442323711,0.023332266,0.0001
59,0.0009378404585970905,0.030521051209231397,0.00093153457,0.889965679032791,0.8705375340572724,0.7748466433608966,0.02359975,0.0001
60,0.0009400287381494577,0.03002191662230594,0.0009013155,0.8888687944148288,0.870022288201196,0.7821506172578307,0.02306685,0.0001
61,0.0009356048100468207,0.03042530510450617,0.0009256992,0.8889626929630772,0.8692637668507639,0.7762570576760026,0.023510972,0.0001
62,0.0009282786115735471,0.03003796398103731,0.0009022793,0.8909820627698128,0.8713784463132334,0.7819176727171604,0.023193767,0.0001
63,0.000926467915487061,0.030620511032233573,0.0009376157,0.8847776899046003,0.8681421166402286,0.773376807113626,0.023540957,0.0001
64,0.0009190913770175618,0.029654372077428964,0.0008793818,0.8935647313682562,0.8712864908690972,0.7874520243185854,0.022864725,0.0001
65,0.0009167476393194039,0.029731562542633323,0.0008839658,0.8949720572120118,0.8749024816214805,0.7863440647575587,0.022916783,0.0001
66,0.0009239655029971307,0.03021591050558757,0.00091300125,0.8920238142852626,0.8739862723634775,0.7793261637461766,0.02335378,0.0001
67,0.0009173919833967702,0.030426919746072083,0.00092579745,0.8900498422071644,0.8726652957899906,0.7762332966016624,0.023612222,0.0001
68,0.0009101344406471073,0.029938126191200835,0.0008962914,0.8904792193158771,0.8757045583682476,0.7833649570128275,0.02306028,0.0001
69,0.0009071643928370671,0.030100146699002656,0.00090601883,0.8911330615045664,0.8729394172925198,0.7810138005054283,0.023102669,0.0001
70,0.0009072578544422549,0.030124326889778195,0.00090747507,0.8908234626426069,0.8740547557107338,0.7806618452863949,0.023374414,0.0001
71,0.0009081821637726649,0.03034397049470427,0.00092075655,0.8925756389795686,0.8772534030352619,0.7774517056579443,0.023582768,0.0001
72,0.0009056555434813329,0.029725275467657665,0.000883592,0.8933828023297856,0.874758679171768,0.7864344292685398,0.022933787,0.0001
73,0.0009041223792560907,0.02955281400338918,0.0008733688,0.8937026766880929,0.8769187297454755,0.7889053683950074,0.022677895,0.0001
74,0.0008967532966072941,0.02990162271431378,0.00089410704,0.8931955584817978,0.874624477207134,0.7838928989071383,0.023170775,0.0001
75,0.0009035302671363663,0.029892555842473856,0.0008935649,0.8944168808986835,0.8730599115954123,0.7840239485720939,0.023176778,0.0001
76,0.0009003485284729831,0.029532033169418034,0.000872141,0.8954788283731863,0.8743523734462603,0.7892021420584712,0.022707744,0.0001
77,0.00089568272664964,0.029275660980208545,0.0008570643,0.8963188382741988,0.8752716859511611,0.7928462056383501,0.02267236,0.0001
78,0.0008928735045885549,0.02953468798816246,0.0008722978,0.893959927064566,0.8766814478702275,0.7891642536938862,0.022778608,0.0001
79,0.0008992736840053006,0.02951593260247603,0.0008711903,0.8954681649736687,0.878468716305281,0.7894319158092169,0.022792185,0.0001
80,0.0009011923281108811,0.029582435952207276,0.0008751205,0.8955058439405527,0.8757161498903213,0.7884820024112849,0.022924425,0.0001
81,0.0008856245205248196,0.02915475467622217,0.0008499997,0.8968681972622441,0.8758346724236937,0.794553722474308,0.022474354,0.0001
82,0.0008889431128342955,0.029400587289750865,0.00086439453,0.8970021879990056,0.8762471042663371,0.7910744704352326,0.022659278,0.0001
83,0.0008832288946624429,0.02940740893348606,0.0008647957,0.8941773913742477,0.8775604142258046,0.7909775146420027,0.022664906,0.0001
84,0.0008842666583716951,0.02997534837083371,0.0008985215,0.8909347359195252,0.8766869034997573,0.7828259307019608,0.023271602,0.0001
85,0.0008842396830863471,0.02945107173972224,0.0008673656,0.8975744285122963,0.8746964882265125,0.7903563502244044,0.022815367,0.0001
86,0.000884681339307695,0.029280709734189926,0.00085735996,0.896413300156725,0.8782995813455915,0.7927747434060008,0.02259656,0.0001
87,0.0008831353790275164,0.029575431299110458,0.00087470614,0.8972428401262427,0.8763327360064631,0.7885821409844025,0.022934653,0.0001
88,0.0008907613092115706,0.02947013208704587,0.0008684887,0.895112743602023,0.8751156094763416,0.7900849196342301,0.022851698,0.0001
89,0.0008774097498881329,0.02911712819045536,0.00084780715,0.8950618611131924,0.8745522476488086,0.7950836876400944,0.022345388,0.0001
90,0.0008813857145940573,0.02948550553604286,0.00086939504,0.8975318593912229,0.8775949632103615,0.7898658433418728,0.022799123,0.0001
91,0.0008821016788786309,0.029054356177126445,0.0008441556,0.8981089869777245,0.8786819802772171,0.7959662464307582,0.022415454,0.0001
92,0.0008727014887627042,0.030011065888158772,0.0009006641,0.8951277095958947,0.8767686495315966,0.7823080748473794,0.023345942,0.0001
93,0.000876344110020221,0.02930215549564641,0.0008586163,0.8978751388823439,0.8768492663822623,0.7924710624209798,0.022655142,0.0001
94,0.0008700139125341146,0.029617751765303447,0.0008772112,0.8933671467086024,0.8751495836469104,0.7879766879627748,0.022769596,0.0001
95,0.0008697958981831855,0.029843184937937087,0.0008906157,0.8943659738562152,0.87762738764964,0.7847367729482787,0.0232044,0.0001
96,0.000866699239398849,0.029515398165054326,0.0008711587,0.8953522396996285,0.8801050841021614,0.7894395670504343,0.022801243,0.0001
97,0.0008676841944555804,0.02911123028764021,0.0008474637,0.8979755724246705,0.877870983896641,0.7951666871177151,0.022580845,0.0001
98,0.0008666539270362257,0.028828705822836215,0.0008310943,0.8999076491401435,0.8805023766766933,0.7991232090505256,0.022312611,0.0001
99,0.0008645609385940675,0.029600128622670172,0.0008761676,0.8962069104927964,0.8802585354695772,0.7882288964964986,0.022855053,0.0001
100,0.0008656159442693103,0.029231760062900364,0.0008544958,0.8974675485368425,0.8799304227333115,0.7934670285335945,0.022628674,0.0001
