epoch,train_loss,val_cross_entropy_loss,val_accuracy,val_macro_f1,val_auc,learning_rate
1,0.6898586452007294,0.6573606729507446,0.7777777777777778,0.43750000000000006,0.7857142857142857,0.001
2,0.6777672469615936,0.6114022731781006,0.8888888888888888,0.8,0.7857142857142857,0.001
3,0.6613863408565521,0.5135823488235474,0.8888888888888888,0.8,0.7857142857142857,0.001
4,0.5878697633743286,0.39139893651008606,0.8888888888888888,0.8,0.7857142857142857,0.001
5,0.5163997411727905,0.3392248749732971,0.8888888888888888,0.8,0.7857142857142857,0.001
6,0.554249495267868,0.3117402195930481,0.8888888888888888,0.8,0.9285714285714286,0.001
7,0.6210883259773254,0.28955546021461487,0.8888888888888888,0.8,0.9285714285714286,0.001
8,0.5460731983184814,0.3471957743167877,0.7777777777777778,0.6785714285714286,0.9285714285714286,0.001
9,0.5177178084850311,0.38551953434944153,0.8888888888888888,0.8,0.9285714285714286,0.001
10,0.5190927982330322,0.4171311557292938,0.8888888888888888,0.8,0.7857142857142857,0.001
11,0.44610118865966797,0.4460214078426361,0.8888888888888888,0.8,0.6428571428571428,0.001
12,0.4175979048013687,0.4755944013595581,0.8888888888888888,0.8,0.6428571428571428,0.001
13,0.5517410486936569,0.4763079881668091,0.8888888888888888,0.8,0.7142857142857143,0.001
14,0.5755414962768555,0.381876677274704,0.8888888888888888,0.8,0.7857142857142857,0.001
15,0.488813191652298,0.30041593313217163,0.7777777777777778,0.6785714285714286,0.9285714285714286,0.001
16,0.4720139354467392,0.3217196464538574,0.8888888888888888,0.8615384615384616,0.9285714285714286,0.001
17,0.4721371531486511,0.3276890516281128,0.8888888888888888,0.8615384615384616,1.0,0.001
18,0.4872463345527649,0.26661229133605957,0.8888888888888888,0.8615384615384616,0.9285714285714286,0.001
19,0.4750528484582901,0.2898057699203491,0.8888888888888888,0.8,0.9285714285714286,0.001
20,0.5080573707818985,0.3615674674510956,0.8888888888888888,0.8,0.7857142857142857,0.001
21,0.43554067611694336,0.44586727023124695,0.6666666666666666,0.5846153846153845,0.7857142857142857,0.001
22,0.5115973949432373,0.42699047923088074,0.6666666666666666,0.5846153846153845,0.7857142857142857,0.001
23,0.5617465376853943,0.3465101718902588,0.6666666666666666,0.5846153846153845,0.8571428571428572,0.001
24,0.4697515368461609,0.2847711443901062,0.7777777777777778,0.6785714285714286,0.9285714285714286,0.001
25,0.42314884066581726,0.2614252269268036,0.8888888888888888,0.8,0.9285714285714286,0.001
26,0.4175370782613754,0.23012791574001312,0.8888888888888888,0.8,1.0,0.001
27,0.4084049016237259,0.2030429244041443,1.0,1.0,1.0,0.001
28,0.43180014193058014,0.19662652909755707,0.8888888888888888,0.8,1.0,0.001
29,0.3937971293926239,0.20303235948085785,0.8888888888888888,0.8,1.0,0.001
30,0.37423478066921234,0.22768115997314453,0.7777777777777778,0.6785714285714286,0.9285714285714286,0.001
31,0.4017411172389984,0.24050402641296387,0.7777777777777778,0.6785714285714286,0.9285714285714286,0.001
32,0.4775967001914978,0.2684680223464966,0.7777777777777778,0.75,1.0,0.001
33,0.43343260884284973,0.2014952450990677,0.8888888888888888,0.8615384615384616,1.0,0.001
34,0.3841376453638077,0.16661915183067322,0.8888888888888888,0.8615384615384616,1.0,0.001
35,0.39340217411518097,0.1789107322692871,0.8888888888888888,0.8615384615384616,1.0,0.001
36,0.44088734686374664,0.2276453971862793,0.8888888888888888,0.8615384615384616,1.0,0.001
37,0.38346074521541595,0.2548869848251343,0.7777777777777778,0.75,1.0,0.001
38,0.38207024335861206,0.2058270275592804,0.8888888888888888,0.8615384615384616,1.0,0.001
39,0.3828534334897995,0.2384071946144104,0.8888888888888888,0.8,0.9285714285714286,0.001
40,0.4388674795627594,0.23044030368328094,0.8888888888888888,0.8615384615384616,1.0,0.001
41,0.3397423326969147,0.301387757062912,0.7777777777777778,0.75,1.0,0.001
42,0.37406662106513977,0.4650530219078064,0.8888888888888888,0.8,0.7142857142857143,0.001
43,0.3382783383131027,0.5125762224197388,0.8888888888888888,0.8,0.7142857142857143,0.001
44,0.3459901213645935,0.25789526104927063,0.8888888888888888,0.8,0.9285714285714286,0.001
